,site,old,new,intersection
478,750,8,11,8
479,751,283,286,282
480,752,16,19,16
481,753,146,149,146
482,754,17,20,17
483,755,7,10,7
484,756,17,20,17
485,757,16,19,16
486,758,118,121,118
487,759,21,24,21
488,760,17,20,17
489,761,278,281,276
490,762,31,34,31
491,763,108,110,108
492,764,38,40,38
493,765,40,42,40
494,766,12,14,12
495,767,30,32,30
496,768,53,55,53
497,769,16,18,16
498,770,31,33,31
499,771,29,33,29
500,772,99,102,99
501,773,24,27,24
502,774,115,118,115
503,775,145,148,145
504,776,116,120,116
505,777,164,168,164
506,778,59,64,59
507,779,32,37,32
508,780,42,50,42
509,781,21,29,21
510,782,60,68,60
511,783,43,51,43
512,784,68,76,68
513,785,35,47,35
514,786,28,40,28
515,787,105,117,105
516,788,360,372,360
517,789,95,107,95
518,790,62,74,62
519,791,24,36,24
520,792,54,66,54
521,793,120,132,120
522,794,155,167,155
523,795,3,13,3
524,796,39,48,39
525,797,8,12,8
526,798,84,85,84
527,799,350,351,350
528,800,6,7,6
529,801,4,5,4
530,802,59,60,59
531,803,12,13,12
532,804,0,1,0
533,805,245,246,244
534,806,117,117,116
535,807,83,83,83
536,808,102,102,102
537,809,197,197,197
538,810,50,50,50
539,811,111,111,111
540,812,29,29,29
541,813,122,122,121
542,814,81,81,81
543,815,605,605,605
544,816,149,149,149
545,817,116,116,116
546,818,20,20,20
547,819,30,30,30
548,820,40,40,40
549,821,42,42,42
550,822,3,3,3
551,825,3,3,3
552,826,100,100,100
553,827,15,15,15
554,828,29,29,29
555,829,901,901,901
556,830,7,7,7
557,831,25,25,25
558,832,527,527,526
559,833,43,43,43
560,834,29,29,29
561,835,675,675,673
562,836,5,5,5
563,837,14,14,14
564,838,74,74,74
565,839,109,109,109
566,840,169,169,169
567,841,143,143,143
568,842,170,170,170
569,843,363,363,363
570,844,73,73,73
571,845,53,53,53
572,846,7,7,7
573,847,78,78,78
574,848,22,22,22
575,849,2,2,2
576,850,137,137,137
577,851,145,145,145
578,852,5,5,5
579,853,173,173,173
580,854,262,262,262
581,855,36,36,36
582,856,75,75,75
583,857,88,88,88
584,859,62,62,62
585,860,19,19,19
586,861,43,43,43
587,862,95,95,95
588,864,1,1,1
589,865,117,117,117
590,866,55,55,55
591,867,3,3,3
592,868,28,33,28
593,869,18,23,18
594,870,63,68,63
595,871,55,60,55
596,872,249,254,249
597,873,30,35,30
598,874,325,330,325
599,875,328,333,328
600,876,6,11,6
601,877,46,51,46
602,878,212,217,212
603,880,29,34,29
604,881,121,126,121
605,882,140,145,140
606,883,45,50,45
607,884,604,609,604
608,885,88,93,88
609,886,50,55,50
610,887,23,28,23
611,888,120,125,120
612,889,37,42,37
613,890,60,65,60
614,891,48,54,48
615,892,17,18,17
616,893,7,8,7
617,894,21,21,21
618,895,59,59,59
619,896,55,55,55
620,897,202,202,202
621,898,37,37,37
622,899,35,35,35
623,900,330,330,330
624,901,76,76,76
625,902,48,48,48
626,903,57,57,57
627,904,118,118,118
628,905,20,20,20
629,906,133,133,133
630,907,42,42,42
631,908,20,20,20
632,910,113,113,113
633,911,75,75,75
634,912,296,296,296
635,913,293,293,292
636,914,60,60,60
637,915,40,40,40
638,916,30,30,30
639,917,0,0,0
640,919,43,43,43
641,920,449,449,449
642,921,15,15,15
643,922,215,215,215
644,923,106,106,106
645,924,11,11,11
646,925,226,226,226
647,926,33,33,33
648,927,17,22,17
649,928,11,16,11
650,929,254,259,254
651,930,3,3,3
652,931,48,48,48
653,932,68,68,68
654,933,34,34,34
655,934,487,487,487
656,935,21,21,21
657,936,497,497,497
658,937,30,30,30
659,938,5,5,5
660,939,68,68,68
661,940,56,56,56
662,941,53,53,53
663,942,275,275,274
664,943,139,139,139
665,944,105,105,105
666,945,93,93,93
667,946,9,9,9
668,947,122,122,122
669,948,15,15,15
670,949,189,189,189
671,950,81,81,81
672,951,25,25,25
673,952,134,134,134
674,953,27,27,27
675,954,37,37,37
676,955,120,120,120
677,956,26,26,26
678,957,19,19,19
679,958,216,216,216
680,959,143,143,143
681,960,267,267,267
682,961,73,73,73
683,962,32,32,32
684,963,94,94,93
685,964,35,35,35
686,965,12,12,12
687,966,1,1,1
688,967,88,88,88
689,968,12,12,12
690,969,53,53,51
691,970,122,122,122
692,971,4,4,4
693,973,44,44,44
694,974,20,20,20
695,975,25,25,25
696,976,27,27,27
697,977,59,59,59
698,978,17,17,17
699,979,51,51,51
700,980,17,17,17
701,981,50,50,50
702,982,27,27,27
703,983,0,0,0
704,984,1,1,1
705,985,0,0,0
706,986,16,16,16
707,987,23,23,23
708,988,109,109,109
709,989,23,23,23
710,990,25,25,25
711,991,175,175,174
712,992,41,41,41
713,993,30,30,30
714,994,39,39,39
715,995,14,14,14
716,996,3,5,3
717,997,34,36,34
718,998,17,19,17
719,999,107,109,107
720,1000,48,50,48
721,1001,24,26,24
722,1002,41,43,41
723,1003,20,22,20
724,1004,21,23,21
725,1005,42,44,42
726,1006,71,73,69
727,1007,29,31,29
728,1008,48,50,48
729,1009,176,178,175
730,1010,0,2,0
731,1011,2,3,2
732,1012,51,52,51
733,1013,12,13,12
734,1014,28,29,28
735,1015,60,60,60
736,1016,22,22,22
737,1017,12,12,12
738,1018,58,58,58
739,1021,64,64,64
740,1022,13,13,13
741,1023,4,4,4
742,1024,22,22,21
743,1025,23,23,23
744,1026,19,19,19
745,1027,16,16,16
746,1028,18,18,18
747,1029,7,7,7
748,1030,28,28,28
749,1031,2,2,2
750,1032,7,7,7
751,1033,30,30,30
752,1034,42,42,42
753,1035,12,12,12
754,1036,23,23,23
755,1037,8,8,8
756,1038,21,21,21
757,1039,24,24,24
758,1040,30,30,30
759,1041,14,14,14
760,1042,58,58,58
761,1043,84,84,84
762,1044,115,115,115
763,1045,35,35,35
764,1046,17,17,17
765,1047,28,28,28
766,1048,106,106,106
767,1049,16,16,16
768,1050,12,12,12
769,1051,57,57,57
770,1052,26,26,26
771,1053,12,12,12
772,1054,11,11,11
773,1055,54,54,54
774,1056,18,18,18
775,1057,149,149,149
776,1058,16,16,16
777,1059,499,499,499
778,1060,527,527,527
779,1061,19,19,19
780,1062,29,29,29
781,1063,502,502,501
782,1064,33,33,33
783,1065,29,29,29
784,1066,74,74,74
785,1067,66,66,66
786,1068,136,136,136
787,1069,148,148,148
788,1070,13,13,13
789,1071,31,31,31
790,1072,82,82,82
791,1073,37,37,37
792,1074,33,33,33
793,1075,29,29,29
794,1076,226,226,226
795,1077,256,256,256
796,1078,62,62,62
797,1079,12,12,12
798,1080,41,41,41
799,1081,47,47,47
800,1082,6,6,6
801,1083,1,1,1
802,1084,16,16,16
803,1085,284,284,284
804,1086,18,18,18
805,1087,113,114,112
806,1088,33,33,33
807,1089,7,7,7
808,1090,62,62,62
809,1091,163,163,163
810,1092,6,6,6
811,1093,273,273,273
812,1094,34,34,34
813,1095,9,9,9
814,1096,19,19,19
815,1097,16,16,16
816,1098,30,30,30
817,1099,63,63,63
818,1100,23,23,23
819,1101,233,233,233
820,1102,460,460,460
821,1103,86,86,86
822,1104,63,63,63
823,1105,10,10,10
824,1106,36,36,36
825,1107,70,70,70
826,1108,172,172,172
827,1109,32,32,32
828,1110,39,39,39
829,1111,98,98,98
830,1112,24,24,24
831,1113,126,126,126
832,1114,37,37,37
833,1115,24,24,24
834,1116,27,27,27
835,1117,44,44,44
836,1118,8,8,8
837,1119,19,19,19
838,1120,18,18,18
839,1121,92,92,92
840,1122,103,103,103
841,1123,70,70,70
842,1124,57,57,57
843,1125,96,96,96
844,1126,217,220,216
845,1127,65,68,65
846,1128,15,18,15
847,1129,34,37,34
848,1130,2,5,2
849,1131,34,37,34
850,1132,24,27,24
851,1133,12,15,12
852,1134,25,28,25
853,1135,78,81,77
854,1136,10,13,10
855,1137,16,19,16
856,1138,16,19,16
857,1139,13,16,13
858,1140,34,41,34
859,1141,167,171,166
860,1142,130,134,130
861,1143,14,19,14
862,1144,22,27,22
863,1145,15,20,15
864,1146,113,118,113
865,1147,66,71,66
866,1148,293,298,293
867,1149,78,79,78
868,1150,412,413,412
869,1151,22,23,22
870,1152,9,11,9
871,1153,13,15,13
872,1154,62,64,62
873,1155,66,68,66
874,1156,52,54,52
875,1157,143,145,143
876,1158,60,62,60
877,1159,7,9,7
878,1160,12,14,12
879,1161,42,44,42
880,1162,25,27,25
881,1163,51,53,51
882,1164,9,10,9
883,1165,50,51,50
884,1166,30,31,30
885,1167,71,72,71
886,1168,91,92,91
887,1169,61,62,61
888,1170,488,489,488
889,1171,38,39,38
890,1172,55,56,55
891,1173,15,16,15
892,1174,103,104,103
893,1175,25,26,25
894,1176,12,13,12
895,1177,118,119,118
896,1178,134,135,134
897,1179,137,138,137
898,1180,50,51,50
899,1181,194,195,194
900,1182,18,18,18
901,1183,40,40,40
902,1184,35,35,35
903,1185,185,185,185
904,1186,263,263,263
905,1187,27,27,27
906,1188,136,136,136
907,1189,35,35,35
908,1190,686,686,685
909,1192,31,31,31
910,1193,26,26,26
911,1194,44,44,44
912,1195,89,89,89
913,1196,18,18,18
914,1197,50,50,50
915,1198,50,50,50
916,1199,4,4,4
917,1200,11,11,11
918,1201,82,82,82
919,1202,27,27,27
920,1203,19,19,19
921,1204,140,140,139
922,1205,123,123,123
923,1206,20,20,20
924,1207,27,27,27
925,1208,47,47,47
926,1209,28,28,28
927,1210,80,80,80
928,1211,36,36,36
929,1212,84,84,84
930,1213,147,147,147
931,1214,84,84,84
932,1215,4,4,4
933,1216,39,39,39
934,1217,13,13,13
935,1218,539,538,537
936,1219,43,43,43
937,1220,18,18,18
938,1221,126,126,126
939,1222,30,30,30
940,1223,124,124,124
941,1224,17,17,17
942,1225,110,110,110
943,1226,41,41,41
944,1227,48,48,48
945,1228,22,22,22
946,1229,50,50,50
947,1230,290,290,290
948,1231,60,60,60
949,1232,1,1,1
950,1233,0,0,0
951,1234,36,36,36
952,1235,27,27,27
953,1236,121,122,121
954,1237,108,109,108
955,1238,123,124,123
956,1239,47,47,47
957,1240,24,24,24
958,1241,0,0,0
959,1242,0,1,0
960,1243,34,35,34
961,1244,52,53,52
962,1245,75,75,75
963,1246,27,27,27
964,1247,21,21,21
965,1248,31,31,30
966,1249,41,41,41
967,1250,33,33,33
968,1251,128,128,128
969,1252,32,32,32
970,1253,14,14,14
971,1254,64,64,63
972,1255,74,74,74
973,1256,0,0,0
974,1257,3,3,3
975,1258,6,6,6
976,1259,2,2,2
977,1260,23,23,23
978,1261,69,69,69
979,1262,75,75,75
980,1263,402,402,401
981,1264,262,262,262
982,1265,164,164,164
983,1266,16,16,16
984,1267,318,318,315
985,1268,122,122,122
986,1269,130,130,130
987,1270,43,43,43
988,1271,18,18,18
989,1272,1,1,1
990,1273,12,12,12
991,1274,327,327,327
992,1275,21,21,21
993,1276,26,26,26
994,1277,7,7,7
995,1278,24,24,24
996,1279,34,34,34
997,1280,89,89,89
998,1281,96,96,96
999,1282,91,91,89
1000,1283,26,26,26
1001,1284,166,166,166
1002,1285,35,35,35
1003,1288,827,827,827
1004,1289,8,8,8
1005,1290,33,33,33
1006,1291,54,54,54
1007,1292,37,37,37
1008,1293,17,17,17
1009,1294,12,12,12
1010,1296,0,0,0
1011,1297,22,22,22
1012,1298,70,70,70
1013,1299,101,101,101
1014,1300,127,127,127
1015,1301,30,30,30
1016,1302,384,384,384
1017,1303,63,63,63
1018,1304,28,28,28
1019,1305,70,70,70
1020,1306,143,143,143
1021,1307,22,22,22
1022,1308,53,53,53
1023,1309,62,62,62
1024,1310,17,17,17
1025,1311,24,24,24
1026,1312,101,101,101
1027,1313,38,38,38
1028,1314,450,450,450
1029,1315,29,29,29
1030,1316,7,7,7
1031,1317,29,29,29
1032,1318,24,24,24
1033,1319,48,48,48
1034,1320,26,26,26
1035,1321,39,39,39
1036,1322,115,115,115
1037,1323,60,60,59
1038,1324,17,17,17
1039,1325,42,42,42
1040,1326,169,169,169
1041,1327,93,93,93
1042,1328,18,18,18
1043,1329,34,34,34
1044,1330,58,58,57
1045,1331,6,6,6
1046,1332,83,83,83
1047,1333,31,31,31
1048,1334,9,9,9
1049,1335,22,22,22
1050,1336,14,14,14
1051,1337,13,13,13
1052,1339,16,16,16
1053,1340,58,58,58
1054,1341,10,10,10
1055,1342,251,251,250
1056,1343,26,26,26
1057,1344,74,74,74
1058,1345,14,14,14
1059,1346,381,380,376
1060,1347,238,238,238
1061,1348,493,492,491
1062,1349,44,44,44
1063,1350,41,41,41
1064,1351,11,11,11
1065,1352,16,16,16
1066,1353,33,33,33
1067,1354,54,54,54
1068,1355,8,8,8
1069,1356,5,5,5
1070,1357,35,35,35
1071,1358,78,78,78
1072,1359,11,11,11
1073,1360,18,18,18
1074,1361,77,77,77
1075,1362,20,20,20
1076,1363,43,43,43
1077,1364,5,5,5
1078,1365,14,14,14
1079,1366,14,14,14
1080,1367,31,31,31
1081,1368,32,32,32
1082,1369,18,18,18
1083,1370,16,16,16
1084,1371,47,47,47
1085,1372,16,16,16
1086,1374,0,0,0
1087,1375,31,31,31
1088,1376,236,236,236
1089,1377,182,182,182
1090,1378,44,44,44
1091,1379,68,68,68
1092,1380,299,299,299
1093,1381,70,70,70
1094,1383,1,1,1
1095,1384,31,32,31
1096,1385,526,527,526
1097,1386,33,35,33
1098,1387,658,660,658
1099,1388,23,26,23
1100,1389,25,28,25
1101,1390,60,63,60
1102,1391,58,61,58
1103,1392,424,426,424
1104,1393,50,52,50
1105,1394,39,42,39
1106,1395,39,42,39
1107,1396,35,38,35
1108,1397,96,99,96
1109,1398,13,16,13
1110,1399,74,77,74
1111,1400,74,77,74
1112,1401,126,129,125
1113,1402,19,25,19
1114,1403,122,128,122
1115,1404,256,262,256
1116,1405,52,58,52
1117,1406,23,29,23
1118,1407,62,68,62
1119,1408,109,115,109
1120,1409,23,29,23
1121,1410,8,14,8
1122,1411,33,39,33
1123,1412,32,38,32
1124,1413,44,51,44
1125,1414,20,27,20
1126,1415,157,164,157
1127,1416,20,27,20
1128,1417,39,45,39
1129,1418,59,64,59
1130,1419,200,211,200
1131,1420,437,448,437
1132,1421,42,53,42
1133,1422,26,37,26
1134,1423,72,82,72
1135,1424,24,34,24
1136,1425,2,12,2
1137,1426,479,489,479
1138,1427,503,513,503
1139,1428,11,21,11
1140,1429,39,52,39
1141,1430,24,36,24
1142,1431,39,114,39
1143,1432,62,137,62
1144,1433,19,94,19
1145,1434,29,37,29
1146,1435,48,56,48
1147,1436,43,52,43
1148,1437,510,518,510
1149,1438,75,83,75
1150,1439,258,266,258
1151,1440,69,78,69
1152,1441,411,420,410
1153,1442,33,41,33
1154,1443,10,18,10
1155,1444,60,67,60
1156,1445,28,36,28
1157,1446,12,20,12
1158,1447,17,25,17
1159,1448,13,21,13
1160,1449,98,106,98
1161,1450,103,111,103
1162,1451,38,46,38
1163,1452,60,68,60
1164,1453,34,42,34
1165,1454,98,106,98
1166,1455,34,42,34
1167,1456,44,54,44
1168,1457,536,546,536
1169,1458,112,121,112
1170,1459,18,24,18
1171,1460,6,12,6
1172,1461,103,109,103
1173,1462,100,106,100
1174,1463,153,159,153
1175,1464,37,43,37
1176,1465,26,32,26
1177,1466,73,79,73
1178,1467,41,47,41
1179,1468,44,50,44
1180,1469,250,256,250
1181,1470,64,70,64
1182,1471,532,538,532
1183,1472,25,32,25
1184,1473,512,519,511
1185,1474,33,37,33
1186,1475,34,36,34
1187,1476,32,32,32
1188,1477,59,59,59
1189,1478,39,39,39
1190,1479,108,108,107
1191,1480,160,160,160
1192,1481,36,36,36
1193,1482,27,27,27
1194,1483,63,63,63
1195,1484,0,0,0
1196,1485,2,2,2
1197,1486,33,33,33
1198,1487,48,48,48
1199,1489,122,122,122
1200,1490,6,6,6
1201,1491,1,1,1
1202,1492,20,20,20
1203,1493,38,38,37
1204,1494,17,17,17
1205,1495,213,213,213
1206,1496,11,11,11
1207,1497,5,5,5
1208,1498,135,135,135
1209,1499,20,20,20
1210,1500,36,36,36
1211,1501,34,34,34
1212,1502,4,4,4
1213,1503,3,3,3
1214,1504,32,32,32
1215,1505,27,27,27
1216,1506,12,12,12
1217,1507,54,54,54
1218,1508,77,77,77
1219,1509,28,28,28
1220,1510,22,22,22
1221,1511,1,1,1
1222,1513,193,193,193
1223,1514,491,491,490
1224,1515,57,57,57
1225,1516,74,74,74
1226,1517,27,27,27
1227,1518,23,24,23
1228,1519,210,211,210
1229,1520,18,19,18
1230,1521,49,50,48
1231,1522,56,57,56
1232,1523,24,25,24
1233,1524,57,58,57
1234,1525,21,22,21
1235,1526,8,9,8
1236,1527,4,5,4
1237,1528,145,146,145
1238,1529,20,21,20
1239,1530,19,20,19
1240,1531,35,36,35
1241,1533,4,4,4
1242,1534,2,2,2
1243,1535,79,79,79
1244,1536,17,17,17
1245,1537,96,96,96
1246,1538,8,8,8
1247,1539,0,0,0
1248,1540,42,42,42
1249,1541,51,51,51
1250,1542,109,109,109
1251,1543,25,25,25
1252,1544,40,40,40
1253,1545,160,160,160
1254,1546,20,23,19
1255,1547,200,203,198
1256,1548,75,75,75
1257,1549,186,186,186
1258,1550,85,85,85
1259,1551,67,67,67
1260,1552,47,47,47
1261,1553,17,17,17
1262,1554,22,22,21
1263,1555,99,99,99
1264,1556,34,34,34
1265,1557,17,17,17
1266,1558,160,160,160
1267,1559,67,67,67
1268,1560,17,17,17
1269,1561,9,9,9
1270,1562,30,30,30
1271,1563,50,50,50
1272,1564,26,26,26
1273,1565,28,28,27
1274,1566,15,15,15
1275,1567,181,181,181
1276,1568,103,103,103
1277,1569,3,3,3
1278,1570,107,107,107
1279,1571,13,13,13
1280,1572,259,259,259
1281,1573,32,32,32
1282,1574,33,33,33
1283,1575,0,0,0
1284,1576,27,28,27
1285,1577,73,74,73
1286,1578,36,36,33
1287,1579,35,35,35
1288,1580,119,119,118
1289,1581,21,22,21
1290,1582,84,87,84
1291,1583,61,71,59
1292,1584,44,55,44
1293,1585,222,233,222
1294,1586,38,49,38
1295,1587,34,45,34
1296,1588,183,192,182
1297,1589,222,224,219
1298,1590,165,167,165
1299,1591,35,37,35
1300,1592,174,176,174
